iter	Passed	Remaining
562	10115	7851
563	10132	7833
564	10149	7814
565	10167	7796
566	10184	7777
567	10201	7758
568	10219	7740
569	10237	7722
570	10255	7704
571	10272	7686
572	10290	7668
573	10308	7650
574	10327	7633
575	10346	7616
576	10371	7603
577	10392	7587
578	10414	7572
579	10437	7558
580	10461	7544
581	10484	7530
582	10505	7514
583	10527	7498
584	10550	7484
585	10571	7468
586	10594	7453
587	10615	7437
588	10636	7422
589	10659	7407
590	10680	7391
591	10704	7377
592	10726	7361
593	10747	7345
594	10767	7329
595	10787	7312
596	10807	7295
597	10827	7278
598	10849	7263
599	10886	7257
600	10919	7249
601	10938	7231
602	10957	7213
603	10975	7195
604	10997	7180
605	11015	7161
606	11032	7142
607	11050	7124
608	11071	7108
609	11089	7090
610	11109	7073
611	11130	7056
612	11148	7038
613	11165	7019
614	11182	7000
615	11200	6982
616	11218	6963
617	11235	6945
618	11253	6926
619	11271	6908
620	11289	6889
621	11306	6871
622	11325	6853
623	11343	6835
624	11362	6817
625	11379	6798
626	11397	6780
627	11415	6762
628	11433	6743
629	11451	6725
630	11469	6706
631	11487	6688
632	11505	6670
633	11524	6652
634	11542	6634
635	11559	6616
636	11577	6597
637	11595	6579
638	11613	6561
639	11631	6542
640	11649	6524
641	11667	6505
642	11685	6487
643	11702	6468
644	11719	6450
645	11737	6431
646	11754	6413
647	11772	6395
648	11790	6376
649	11807	6358
650	11825	6339
651	11843	6321
652	11862	6303
653	11880	6285
654	11899	6267
655	11917	6249
656	11936	6231
657	11955	6213
658	11974	6196
659	11992	6177
660	12010	6159
661	12029	6141
662	12048	6124
663	12066	6105
664	12084	6087
665	12102	6069
666	12120	6051
667	12138	6032
668	12155	6014
669	12173	5996
670	12191	5977
671	12209	5959
672	12227	5941
673	12246	5923
674	12264	5905
675	12282	5887
676	12301	5868
677	12319	5850
678	12336	5832
679	12354	5813
680	12371	5795
681	12390	5777
682	12408	5759
683	12426	5741
684	12444	5722
685	12462	5704
686	12480	5686
687	12499	5668
688	12516	5649
689	12534	5631
690	12552	5613
691	12571	5595
692	12590	5577
693	12608	5559
694	12626	5540
695	12643	5522
696	12662	5504
697	12680	5486
698	12698	5468
699	12715	5449
700	12734	5431
701	12752	5413
702	12769	5395
703	12788	5376
704	12806	5358
705	12824	5340
706	12842	5322
707	12860	5303
708	12877	5285
709	12895	5267
710	12913	5249
711	12931	5230
712	12948	5212
713	12967	5194
714	12985	5175
715	13003	5157
716	13020	5139
717	13037	5120
718	13054	5102
719	13072	5083
720	13090	5065
721	13108	5047
722	13126	5029
723	13145	5011
724	13164	4993
725	13182	4975
726	13199	4956
727	13217	4938
728	13235	4920
729	13253	4901
730	13271	4883
731	13289	4865
732	13307	4847
733	13324	4828
734	13342	4810
735	13360	4792
736	13379	4774
737	13398	4756
738	13415	4738
739	13433	4719
740	13451	4701
741	13469	4683
742	13488	4665
743	13507	4647
744	13525	4629
745	13543	4611
746	13563	4593
747	13580	4575
748	13597	4556
749	13616	4538
750	13635	4520
751	13652	4502
752	13670	4484
753	13687	4465
754	13704	4447
755	13722	4429
756	13740	4410
757	13759	4392
758	13776	4374
759	13794	4356
760	13812	4337
761	13829	4319
762	13849	4301
763	13868	4283
764	13886	4265
765	13905	4247
766	13925	4230
767	13943	4212
768	13960	4193
769	13978	4175
770	13995	4156
771	14013	4138
772	14031	4120
773	14049	4102
774	14067	4084
775	14084	4065
776	14101	4047
777	14119	4028
778	14152	4015
779	14184	4000
780	14217	3986
781	14249	3972
782	14272	3955
783	14289	3937
784	14306	3918
785	14323	3899
786	14340	3881
787	14359	3863
788	14376	3844
789	14393	3826
790	14411	3807
791	14428	3789
792	14445	3770
793	14463	3752
794	14480	3734
795	14498	3715
796	14515	3697
797	14533	3678
798	14550	3660
799	14568	3642
800	14585	3623
801	14603	3605
802	14621	3587
803	14639	3568
804	14656	3550
805	14673	3531
806	14690	3513
807	14708	3495
808	14728	3477
809	14746	3459
810	14763	3440
811	14781	3422
812	14798	3403
813	14816	3385
814	14833	3367
815	14852	3349
816	14869	3330
817	14886	3312
818	14903	3293
819	14921	3275
820	14939	3257
821	14956	3238
822	14974	3220
823	14992	3202
824	15010	3184
825	15027	3165
826	15045	3147
827	15063	3129
828	15081	3110
829	15099	3092
830	15117	3074
831	15134	3055
832	15151	3037
833	15168	3019
834	15186	3000
835	15203	2982
836	15221	2964
837	15238	2945
838	15255	2927
839	15271	2908
840	15288	2890
841	15305	2872
842	15322	2853
843	15340	2835
844	15357	2817
845	15374	2798
846	15392	2780
847	15410	2762
848	15428	2744
849	15447	2725
850	15464	2707
851	15481	2689
852	15498	2670
853	15515	2652
854	15534	2634
855	15552	2616
856	15569	2597
857	15586	2579
858	15603	2561
859	15620	2542
860	15637	2524
861	15654	2506
862	15671	2487
863	15688	2469
864	15705	2451
865	15723	2432
866	15740	2414
867	15758	2396
868	15775	2378
869	15793	2359
870	15811	2341
871	15828	2323
872	15846	2305
873	15863	2286
874	15880	2268
875	15897	2250
876	15915	2232
877	15932	2213
878	15949	2195
879	15967	2177
880	15984	2159
881	16001	2140
882	16018	2122
883	16035	2104
884	16053	2086
885	16070	2067
886	16087	2049
887	16105	2031
888	16122	2013
889	16139	1994
890	16156	1976
